strategy,avg_cagr,median_cagr,worst_10pct_cagr,best_10pct_cagr,avg_maxdd,worst_maxdd
"DCA5y_(0.0, 0.7, 0.3)",7.829891514516171,8.395181451425005,-1.8265000241411478,14.947700729739024,43.98615141092048,61.38678511829963
"DCA3y_(0.0, 0.7, 0.3)",8.288583295427578,8.707859016215602,-1.8975250279803697,16.19047422579599,44.11484492300437,61.574453201145865
"DCA5y_(0.0, 0.5, 0.5)",7.851797259912315,8.434280194373688,-2.27295014256481,15.487185706451191,44.65754726630788,62.18465193515893
"DCA3y_(0.2, 0.4, 0.4)",7.754875421251429,7.887870738135938,-2.277247042957191,15.847177952387767,44.80716416911347,62.472422806154384
"DCA3y_(0.0, 0.5, 0.5)",8.303917456067712,8.689084142524305,-2.3660355841661707,16.827759566278875,44.81979414600765,62.33876902866805
"DCA5y_(0.0, 0.3, 0.7)",7.858452003160953,8.47989959178257,-2.754892029777497,16.053882491742232,45.3970841966119,62.99367895414842
"DCA3y_(0.0, 0.3, 0.7)",8.299537536071671,8.67027959916118,-2.8216688620728396,17.48318426519881,45.623656816355926,63.13263878932972
"DCA1y_(0.2, 0.5, 0.3)",8.035567944957789,6.6465025095782675,-3.3140543408522283,17.09376468817834,45.53479116921962,64.1842948939014
"DCA1y_(0.2, 0.4, 0.4)",8.048395985028536,6.425774634206261,-3.4093068977944516,17.480669441149377,45.924468287282636,65.04943715876455
"DCA1y_(0.0, 0.7, 0.3)",8.612487445562376,7.331990014168976,-3.4283530334210823,17.90300919204312,45.24979041597517,66.45542812324446
"DCA1y_(0.0, 0.5, 0.5)",8.626712754420737,6.868600934285075,-3.731111660778555,18.601175958273092,46.05715890283613,68.0082352174778
"DCA1y_(0.0, 0.3, 0.7)",8.616200017452014,6.468987054769548,-4.007137868287468,19.310786203986574,47.037260143178955,69.451923032614
