vix_threshold,holding_years,target,nq100_ratio,sox_ratio,trigger_count,evaluated_count,max_return_pct,average_return_pct,min_return_pct
25,1,NQ100,1.0,0.0,1368,1352,115.74747117438831,20.641487997376558,-59.47836568932101
25,1,NQ100_30_SOX_70,0.3,0.7,1368,1352,195.5297794343693,28.4797614047254,-59.77574307823955
25,1,NQ100_50_SOX_50,0.5,0.5,1368,1352,172.7348342172319,26.24025471691145,-57.82199211661616
25,1,NQ100_70_SOX_30,0.7,0.3,1368,1352,149.93988900009444,24.00074802909749,-56.12129513379121
25,1,SOX,0.0,1.0,1368,1352,229.72219726007546,31.839021436446338,-62.706369520674635
30,1,NQ100,1.0,0.0,633,631,102.8827709898915,30.795800087002164,-49.15510090832029
30,1,NQ100_30_SOX_70,0.3,0.7,633,631,154.80146773580407,36.854075439134675,-56.4998687369305
30,1,NQ100_50_SOX_50,0.5,0.5,633,631,129.64113101498515,35.12313962423967,-54.40136364304187
30,1,NQ100_70_SOX_30,0.7,0.3,633,631,113.65729433154898,33.39220380934466,-52.30285854915324
30,1,SOX,0.0,1.0,633,631,192.54197281703242,39.45047916147718,-59.64762637776345
35,1,NQ100,1.0,0.0,312,312,91.63945971736442,39.87079903817172,-34.62795390045778
35,1,NQ100_30_SOX_70,0.3,0.7,312,312,126.76596582373367,45.78815163494922,-43.557596669111
35,1,NQ100_50_SOX_50,0.5,0.5,312,312,116.72982122191388,44.09747946444137,-40.905054629563864
35,1,NQ100_70_SOX_30,0.7,0.3,312,312,106.6936766200941,42.406807293933504,-38.28866434059304
35,1,SOX,0.0,1.0,312,312,156.53498876475535,48.32415989071101,-47.53640972843169
25,3,NQ100,1.0,0.0,1368,1330,206.04526167295646,52.57935956689149,-74.49860346912475
25,3,NQ100_30_SOX_70,0.3,0.7,1368,1330,261.94794839765774,56.92725848823281,-71.3747530922424
25,3,NQ100_50_SOX_50,0.5,0.5,1368,1330,240.73083802487866,55.685001653563866,-72.26728177135163
25,3,NQ100_70_SOX_30,0.7,0.3,1368,1330,219.51372765209953,54.44274481889491,-73.15981045046088
25,3,SOX,0.0,1.0,1368,1330,293.77361395682635,58.790643740236256,-70.88225201312532
30,3,NQ100,1.0,0.0,633,618,206.04526167295646,73.83317810655991,-65.15438222703378
30,3,NQ100_30_SOX_70,0.3,0.7,633,618,249.73731910798708,73.84961010399142,-65.14619753932051
30,3,NQ100_50_SOX_50,0.5,0.5,633,618,230.97674553836814,73.84491524758242,-65.08322689326668
30,3,NQ100_70_SOX_30,0.7,0.3,633,618,212.2161719687492,73.84022039117342,-65.10574917638503
30,3,SOX,0.0,1.0,633,618,277.8781794624154,73.85665238860494,-65.24065350840125
35,3,NQ100,1.0,0.0,312,306,184.07531161432087,77.30450621080917,-6.856502758546967
35,3,NQ100_30_SOX_70,0.3,0.7,312,306,249.73731910798708,74.9162281989978,-20.412103400343206
35,3,NQ100_50_SOX_50,0.5,0.5,312,306,230.97674553836814,75.59859334522963,-16.53907464554427
35,3,NQ100_70_SOX_30,0.7,0.3,312,306,212.2161719687492,76.28095849146143,-12.666045890745359
35,3,SOX,0.0,1.0,312,306,277.8781794624154,73.89268047965008,-26.221646532541588
