holding_years,drawdown_bucket,drawdown_label,vix_bucket,vix_label,signal_count,total_return_avg_pct,total_return_median_pct,total_return_min_pct,total_return_max_pct
1,dd_10_15,10%-15%,vix_20_25,20-25,171,-3.2751378435903193,4.896331139833254,-48.758482992957454,41.43785605334869
1,dd_10_15,10%-15%,vix_25_30,25-30,150,-0.03295001603514547,7.782637941409664,-45.06507045717254,40.25109573871681
1,dd_10_15,10%-15%,vix_30_35,30-35,72,13.689277135020175,18.281197027691555,-35.44195898893221,43.271164270658225
1,dd_10_15,10%-15%,vix_35_plus,35+,53,21.026989707547607,22.320482949758592,-8.240791135724024,43.56293610537338
1,dd_15_20,15%-20%,vix_20_25,20-25,215,-8.824549855856532,-16.525572941937217,-36.64929881156232,32.94945642794551
1,dd_15_20,15%-20%,vix_25_30,25-30,127,-9.405512499455062,-11.951587002914788,-48.822822765102735,32.53452139975581
1,dd_15_20,15%-20%,vix_30_35,30-35,34,6.902999903863999,4.951386412831848,-41.474528694445446,46.90458399942923
1,dd_15_20,15%-20%,vix_35_plus,35+,53,33.105011255350504,32.000583682736014,-39.04746905857931,52.50605988964176
1,dd_20_25,20%-25%,vix_20_25,20-25,78,-9.979662957796807,-19.935410957809115,-33.02435769163991,28.94614448985169
1,dd_20_25,20%-25%,vix_25_30,25-30,135,7.43398604564407,12.090683922685376,-29.859820597868804,32.2417076509087
1,dd_20_25,20%-25%,vix_30_35,30-35,81,6.757780451230633,14.250133329657189,-25.631135332173226,30.91767403440693
1,dd_20_25,20%-25%,vix_35_plus,35+,31,13.55525733676953,13.312877426719583,-22.9203514292005,53.71450626511303
1,dd_25_plus,25%+,vix_20_25,20-25,4,13.710835054101207,13.633690261181163,12.943905908742659,14.632053785299837
1,dd_25_plus,25%+,vix_25_30,25-30,33,12.134505211108603,14.073764149045287,-22.544500293820334,37.427324157585716
1,dd_25_plus,25%+,vix_30_35,30-35,103,19.873132730928095,22.442101525456316,-26.703874841982987,40.727756346652065
1,dd_25_plus,25%+,vix_35_plus,35+,224,27.39793626222522,27.5616785460156,-26.495385875029577,74.77966345823344
3,dd_10_15,10%-15%,vix_20_25,20-25,169,28.443994967342036,36.623251287950254,-30.953109027225356,89.32281768106031
3,dd_10_15,10%-15%,vix_25_30,25-30,146,21.709972294294662,38.72842016544149,-35.860682390026966,91.09572405942059
3,dd_10_15,10%-15%,vix_30_35,30-35,66,42.12110181882835,42.805714554035376,-34.744505054468036,74.18688293892662
3,dd_10_15,10%-15%,vix_35_plus,35+,49,53.285007239434194,54.690212673611114,33.68784249751311,72.97021188814938
3,dd_15_20,15%-20%,vix_20_25,20-25,215,16.88668299283071,5.989136155069996,-15.862755333571442,78.9855740192213
3,dd_15_20,15%-20%,vix_25_30,25-30,127,21.23093342177408,5.418321680468785,-18.63628331101492,95.94672428431814
3,dd_15_20,15%-20%,vix_30_35,30-35,34,40.85484970492887,48.682947314761606,-18.61895624517851,92.55232310942367
3,dd_15_20,15%-20%,vix_35_plus,35+,49,56.02666672056558,49.423264622487494,-1.5001933750238505,94.15609823759097
3,dd_20_25,20%-25%,vix_20_25,20-25,78,12.874915590564278,-6.06655770661596,-11.55596569990508,82.53604833587151
3,dd_20_25,20%-25%,vix_25_30,25-30,135,33.892384786426504,39.011721522704114,-8.939180070246644,84.19819975087731
3,dd_20_25,20%-25%,vix_30_35,30-35,81,36.30356485592909,33.58350419229552,-7.779339819845232,84.48399042476858
3,dd_20_25,20%-25%,vix_35_plus,35+,31,32.46648933832489,36.1352103636319,-4.358613579061544,103.7850258346066
3,dd_25_plus,25%+,vix_20_25,20-25,4,39.41561544388094,39.72173008614979,36.66544587213969,41.5535557310845
3,dd_25_plus,25%+,vix_25_30,25-30,33,36.65648808952126,43.64892318683613,-3.46188948665177,52.32926929323967
3,dd_25_plus,25%+,vix_30_35,30-35,103,42.27992755725819,48.8484920575891,-4.132604969711052,86.5356547080011
3,dd_25_plus,25%+,vix_35_plus,35+,224,48.211348294751346,47.31980210450152,-5.325312645746094,102.63254190533826
10,dd_10_15,10%-15%,vix_20_25,20-25,101,83.55576710761116,91.11354110163441,-22.501129444030067,270.26819012424954
10,dd_10_15,10%-15%,vix_25_30,25-30,123,119.49836304420005,102.62428916158397,-22.257367673810936,287.4028457870656
10,dd_10_15,10%-15%,vix_30_35,30-35,41,214.45433427916444,266.86696220201196,-16.14692603124499,294.1735789562806
10,dd_10_15,10%-15%,vix_35_plus,35+,31,245.95329188206026,273.18642265438166,171.08001072011038,292.54136851200235
10,dd_15_20,15%-20%,vix_20_25,20-25,177,48.116876031955,23.985080184577413,0.20256766401918203,187.7954971901339
10,dd_15_20,15%-20%,vix_25_30,25-30,88,48.63735058284885,14.582914434265504,-8.299691749786808,190.4680062309561
10,dd_15_20,15%-20%,vix_30_35,30-35,15,103.10904912279402,103.86551405862465,-10.22091390048524,303.7476684769681
10,dd_15_20,15%-20%,vix_35_plus,35+,23,267.54657658132015,284.48294332422114,112.51135623982887,298.5985299467226
10,dd_20_25,20%-25%,vix_20_25,20-25,66,30.316964136236574,8.154082463825784,-7.052479388472744,185.40693890154114
10,dd_20_25,20%-25%,vix_25_30,25-30,114,86.5575568303809,60.48319538584791,5.535638412052513,205.36406705250823
10,dd_20_25,20%-25%,vix_30_35,30-35,57,47.97491435398276,51.27849716381816,5.244795614858777,142.20677178612812
10,dd_20_25,20%-25%,vix_35_plus,35+,23,69.51858617521405,57.68852659770318,9.413774678991803,146.1796089966007
10,dd_25_plus,25%+,vix_20_25,20-25,4,209.16213752102433,208.0986200812311,207.57803999580662,212.87326992582854
10,dd_25_plus,25%+,vix_25_30,25-30,33,152.40756141919206,208.3818200690912,2.8509939183565924,234.53194491588084
10,dd_25_plus,25%+,vix_30_35,30-35,98,113.22900619465737,81.53530965847072,2.5133314465948686,240.4581861312252
10,dd_25_plus,25%+,vix_35_plus,35+,211,173.68949348085704,198.7172027868987,11.491149621562634,311.40820485394255
